Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,Double Choice,Total
통합과학,3(15.8%),9.6,5(26.3%),13.6,5(26.3%),15.4,4(21.1%),12.3,2(10.5%),6.1,0(0.0%),19
국어,4(22.2%),15.2,4(22.2%),15.0,3(16.7%),12.6,5(27.8%),19.5,2(11.1%),7.7,0(0.0%),18
통합사회,3(16.7%),10.6,5(27.8%),18.7,3(16.7%),11.7,5(27.8%),16.8,2(11.1%),7.2,0(0.0%),18
수학,3(18.8%),12.8,5(31.2%),21.5,2(12.5%),8.4,4(25.0%),17.8,2(12.5%),9.5,0(0.0%),16
일본어Ⅰ,4(26.7%),14.2,4(26.7%),13.1,2(13.3%),6.5,2(13.3%),7.1,3(20.0%),9.1,0(0.0%),15
중국어Ⅰ,2(10.0%),6.7,5(25.0%),16.1,6(30.0%),22.5,3(15.0%),9.9,4(20.0%),14.8,0(0.0%),20
프로그래밍기초,2(14.3%),7.3,3(21.4%),10.8,3(21.4%),10.4,3(21.4%),10.5,3(21.4%),11.0,0(0.0%),14
한국사,6(25.0%),16.3,7(29.2%),19.5,3(12.5%),7.7,5(20.8%),13.2,3(12.5%),8.3,0(0.0%),24
영어,3(16.7%),10.0,2(11.1%),6.6,4(22.2%),13.4,5(27.8%),16.6,4(22.2%),13.4,0(0.0%),18
